scenario,trial,num_poses,base_translation_sigma_mm,base_rotation_sigma_deg,success,runtime_ms,nfev,cost,method,camera_name,link_name,translation_error_mm,rotation_error_deg,mean_target_error_mm,max_target_error_mm,mean_target_rotation_error_deg,mean_cross_camera_target_disagreement_mm,max_cross_camera_target_disagreement_mm
gaussian,4,30,0.5,0.25,True,13.778857000033895,0,0.0,PARK,forearm_camera,forearm,0.3362546498055372,0.0601012061778247,0.769494440702583,1.3964402207221063,0.06010120617782512,0.8731770621710045,1.6081059678400855
gaussian,4,30,0.5,0.25,True,13.778857000033895,0,0.0,PARK,wrist_camera,gripper,0.12990988472063078,0.02089354950760577,0.29651907430476765,0.5168216447042236,0.020893549507604785,0.8731770621710045,1.6081059678400855
gaussian,4,30,0.5,0.25,True,20.973725999283488,4,1362.322311764815,JOINT_LINEAR,upper_arm_camera,upper_arm,0.7641868505747011,0.0551925208246183,0.8001935981515804,1.6060228336513898,0.055192520824617806,1.0069496481926603,2.71157895417729
gaussian,4,30,0.5,0.25,True,20.973725999283488,4,1362.322311764815,JOINT_LINEAR,forearm_camera,forearm,0.44016166109049926,0.06435964619424918,0.8222393669038325,1.3796608172043692,0.06435964619424983,1.0069496481926603,2.71157895417729
gaussian,4,30,0.5,0.25,True,20.973725999283488,4,1362.322311764815,JOINT_LINEAR,wrist_camera,gripper,0.3433634764728587,0.012746758860377136,0.34333670310939884,0.4805911395496918,0.01274675886037769,1.0069496481926603,2.71157895417729
gaussian,4,30,0.5,0.25,True,361.8357469995317,82,496.560074357235,JOINT_HUBER,upper_arm_camera,upper_arm,0.6521425219064756,0.06611333569648357,0.8935209865364474,1.5950361845945185,0.06611333569648475,1.0173357216192418,2.6440524582752905
gaussian,4,30,0.5,0.25,True,361.8357469995317,82,496.560074357235,JOINT_HUBER,forearm_camera,forearm,0.5246787734632671,0.05086996319135949,0.7866502735120362,1.2378428511915036,0.05086996319135954,1.0173357216192418,2.6440524582752905
gaussian,4,30,0.5,0.25,True,361.8357469995317,82,496.560074357235,JOINT_HUBER,wrist_camera,gripper,0.21110772544612352,0.01631776737630596,0.2862242516133431,0.5287975401919356,0.01631776737630577,1.0173357216192418,2.6440524582752905
gaussian,5,30,0.5,0.25,True,13.963480999336753,0,0.0,PARK,upper_arm_camera,upper_arm,0.1467390302388284,0.06160514185101463,0.781446414051071,0.912219732699373,0.06160514185101381,0.6949419154959576,1.457347567187377
gaussian,5,30,0.5,0.25,True,13.963480999336753,0,0.0,PARK,forearm_camera,forearm,0.16868585414795556,0.014390083138250936,0.23009577093461053,0.3706140533103495,0.01439008313825038,0.6949419154959576,1.457347567187377
gaussian,5,30,0.5,0.25,True,13.963480999336753,0,0.0,PARK,wrist_camera,gripper,0.18304239668019837,0.022583058757526035,0.3727805509390945,0.6422041403619967,0.022583058757524966,0.6949419154959576,1.457347567187377
gaussian,5,30,0.5,0.25,True,21.09645000018645,4,1426.1566157125437,JOINT_LINEAR,upper_arm_camera,upper_arm,0.20779134647849473,0.042001270500943606,0.37044506201110394,0.7160580641007368,0.042001270500943814,0.8875709833224024,1.7490291073501891
gaussian,5,30,0.5,0.25,True,21.09645000018645,4,1426.1566157125437,JOINT_LINEAR,forearm_camera,forearm,0.47607626586086377,0.04254846648536677,0.6722903595681728,0.9784306774169172,0.04254846648536673,0.8875709833224024,1.7490291073501891
gaussian,5,30,0.5,0.25,True,21.09645000018645,4,1426.1566157125437,JOINT_LINEAR,wrist_camera,gripper,0.6976678240010216,0.016960137686969853,0.8051186315416707,1.0168668627598858,0.01696013768696914,0.8875709833224024,1.7490291073501891
gaussian,5,30,0.5,0.25,True,476.7371509997247,112,491.3562195149923,JOINT_HUBER,upper_arm_camera,upper_arm,0.2006380128712463,0.007440205102206608,0.23033359982624937,0.2872578804899074,0.007440205102207068,0.6389351292464208,1.3748717743539263
gaussian,5,30,0.5,0.25,True,476.7371509997247,112,491.3562195149923,JOINT_HUBER,forearm_camera,forearm,0.1757997883707199,0.023856298503396926,0.34070256739561755,0.5784486647077761,0.023856298503396735,0.6389351292464208,1.3748717743539263
