trial,num_poses,translation_sigma_mm,rotation_sigma_deg_input,runtime_ms_total,quality,recommendation,num_relative_motions,max_relative_rotation_deg,mean_relative_rotation_deg,translation_baseline_mm,rotation_axis_diversity_ratio,rotation_design_rank,expected_rotation_design_rank,smallest_informative_singular_value,method,camera_name,link_name,translation_error_mm,rotation_error_deg,mean_target_error_mm,max_target_error_mm,mean_target_rotation_error_deg,mean_cross_camera_target_disagreement_mm,max_cross_camera_target_disagreement_mm
3,30,0.5,0.25,13.478264000696072,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,179.06345204661656,126.09178686996306,676.9877752308016,0.8331964161018226,8,8,5.251177850491632,PARK,forearm_camera,forearm,0.3445047489232631,0.05012521591379194,0.7601800238234483,1.1974242947246914,0.05012521591379241,1.3024769943477028,2.718037963411816
3,30,0.5,0.25,13.478264000696072,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,175.68463770174267,123.8646223399346,1495.6694015721146,0.6960896501000621,8,8,6.73946486504581,PARK,wrist_camera,gripper,0.47368606110541794,0.09439200016740823,1.359753812695024,2.046968040874964,0.09439200016740865,1.3024769943477028,2.718037963411816
4,30,0.5,0.25,13.517336999939289,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,173.04339356687467,105.3079126483064,0.0,0.4103144483726637,8,8,4.824354692429074,PARK,upper_arm_camera,upper_arm,0.12742549423860475,0.01795691305706211,0.24000055862614336,0.38044699709347,0.017956913057062342,0.8956557904191149,2.3916771033825515
4,30,0.5,0.25,13.517336999939289,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,172.0304141697002,119.15903700847385,677.3939965641746,0.6910332905640725,8,8,6.465083425702924,PARK,forearm_camera,forearm,0.5386652663937865,0.07794168635290986,0.7501147173507486,1.4531935327036904,0.07794168635291121,0.8956557904191149,2.3916771033825515
4,30,0.5,0.25,13.517336999939289,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,179.00432430598116,122.1756544744856,1474.577821388295,0.786401330158679,8,8,6.626812329079621,PARK,wrist_camera,gripper,0.25435802878540464,0.05874917259839898,0.7437283331449839,1.434745188349846,0.058749172598399596,0.8956557904191149,2.3916771033825515
5,30,0.5,0.25,13.402984000094875,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,176.5083284575487,101.92344478901484,0.0,0.5696443160911894,8,8,5.26063161271187,PARK,upper_arm_camera,upper_arm,0.21408693452878647,0.07031210307613961,0.9010791808119664,1.0682763262378243,0.07031210307614018,1.0729874153858077,2.0839123677917764
5,30,0.5,0.25,13.402984000094875,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,178.09277330608305,127.93504153439756,678.9748174422151,0.6291846459187382,8,8,5.606284198424727,PARK,forearm_camera,forearm,0.3024707651721983,0.03952993122302751,0.4897545288077218,0.998894689530066,0.03952993122302799,1.0729874153858077,2.0839123677917764
5,30,0.5,0.25,13.402984000094875,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,178.03433644149837,141.49448947376408,1464.8661720908824,0.8160775207064377,8,8,6.001852560375754,PARK,wrist_camera,gripper,0.24896861890304955,0.06133739071768685,0.7454375949489279,1.344061044720357,0.061337390717686076,1.0729874153858077,2.0839123677917764
6,30,0.5,0.25,13.547663999815995,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,177.24565935072545,94.5544760270042,0.0,0.4059791377434564,8,8,4.8082228518258665,PARK,upper_arm_camera,upper_arm,0.29771805230316256,0.05493622962285342,0.601418015594166,0.980353295266863,0.054936229622853786,0.8270904745969255,1.6710503440288522
6,30,0.5,0.25,13.547663999815995,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,178.70956717377373,124.72987104409414,679.7548142324277,0.7972735349869882,8,8,6.205835674000054,PARK,forearm_camera,forearm,0.19184291942501852,0.04363790863230281,0.5354363185343302,0.98732445050132,0.04363790863230267,0.8270904745969255,1.6710503440288522
6,30,0.5,0.25,13.547663999815995,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,174.12030840456802,124.47334606992821,1498.3968917652785,0.681169819789808,8,8,6.927295335132382,PARK,wrist_camera,gripper,0.3943327697847763,0.044671707212410317,0.7047458858121749,1.300492013568243,0.044671707212409546,0.8270904745969255,1.6710503440288522
7,30,0.5,0.25,13.540531000217015,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,154.12244944843837,63.50076581755828,0.0,0.3747915460075232,8,8,3.9591068453452642,PARK,upper_arm_camera,upper_arm,0.4234839993181163,0.09837976401932845,1.2758829463240222,1.5962001501457188,0.09837976401932762,1.1340046328877766,1.9804261566132644
7,30,0.5,0.25,13.540531000217015,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,162.7242888403203,91.4511294795897,675.9392779379993,0.30884875219350855,8,8,3.9624093212682316,PARK,forearm_camera,forearm,0.11900162355710275,0.08359351839921299,0.7239136490551015,1.3586355422780998,0.08359351839921254,1.1340046328877766,1.9804261566132644
7,30,0.5,0.25,13.540531000217015,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,178.25659389646324,123.92012119829104,1432.7207561520427,0.7974581211860161,8,8,6.979553325850066,PARK,wrist_camera,gripper,0.13755350947052952,0.028223824944191362,0.38110997758002285,0.7214587297339329,0.028223824944191532,1.1340046328877766,1.9804261566132644
8,30,0.5,0.25,13.529939999898488,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,166.07696019644564,104.62515242691093,0.0,0.5559856059818946,8,8,5.6493222446491105,PARK,upper_arm_camera,upper_arm,0.21238576431477493,0.057644542969197805,0.6327694975339283,0.9632328397211014,0.05764454296919738,0.7107137667115468,1.450258999927584
8,30,0.5,0.25,13.529939999898488,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,176.10721891522476,138.75042946288275,679.7199897812358,0.5649226059209908,8,8,6.036290058441729,PARK,forearm_camera,forearm,0.2799203968232707,0.029407991108421273,0.3822159610944054,0.6533872890435886,0.02940799110842107,0.7107137667115468,1.450258999927584
8,30,0.5,0.25,13.529939999898488,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,179.9359804609255,139.78897042415528,1509.4562243579467,0.5711295292208685,8,8,6.180600713222155,PARK,wrist_camera,gripper,0.2106448666469068,0.04287830788431319,0.4972153264468703,0.783793467925967,0.04287830788431211,0.7107137667115468,1.450258999927584
9,30,0.5,0.25,13.542204000259517,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,155.232408436435,101.55152161396163,0.0,0.5581845511159104,8,8,6.055869121929614,PARK,upper_arm_camera,upper_arm,0.08010717244404976,0.04287421956058033,0.5601108520720416,0.6900319989850975,0.04287421956058028,0.6868188883410042,1.300611059298842
9,30,0.5,0.25,13.542204000259517,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,179.99769651080703,114.74307311154125,679.8945696499954,0.6765791933482996,8,8,6.471054086776255,PARK,forearm_camera,forearm,0.2624024027303272,0.051642978577054466,0.6431804085057767,1.0247043832560698,0.05164297857705372,0.6868188883410042,1.300611059298842
9,30,0.5,0.25,13.542204000259517,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,179.4556063461756,127.81486694295931,1388.4180466571522,0.811892306880963,8,8,7.219869877780727,PARK,wrist_camera,gripper,0.2996630124685007,0.023357822292818894,0.4680955262539334,0.6695329800175215,0.023357822292818086,0.6868188883410042,1.300611059298842
10,30,0.5,0.25,13.587597999503487,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,168.85090930718232,96.03678064805204,0.0,0.5124976346635337,8,8,5.23343452761858,PARK,upper_arm_camera,upper_arm,0.14720277453159192,0.05296670154166828,0.6382636463015591,0.890479974984778,0.052966701541668604,0.7498362710960368,1.7647104044250403
10,30,0.5,0.25,13.587597999503487,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,178.8175928944447,113.16387008497952,677.5354123259092,0.6331983587457204,8,8,5.830771178298414,PARK,forearm_camera,forearm,0.33449455911839887,0.02632871754146357,0.4742390300059445,0.7659356330998415,0.02632871754146362,0.7498362710960368,1.7647104044250403
10,30,0.5,0.25,13.587597999503487,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,178.64702099019,125.5995310096366,1448.0546559706618,0.7171880759487804,8,8,6.6853232362623,PARK,wrist_camera,gripper,0.0567259392636498,0.04303937763243386,0.5694565021192409,0.9010461834304415,0.043039377632433345,0.7498362710960368,1.7647104044250403
11,30,0.5,0.25,13.552231999710784,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,177.1602818434341,100.75930617059417,0.0,0.42006579802080957,8,8,4.44114966975076,PARK,upper_arm_camera,upper_arm,0.26892263516145687,0.12758886770021932,1.62987273656845,1.9256870855084598,0.12758886770021904,1.3207393502077318,2.5658812759741454
11,30,0.5,0.25,13.552231999710784,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,177.4456393327384,115.09867272282575,679.5150109650317,0.7194261360106081,8,8,6.5015245930575665,PARK,forearm_camera,forearm,0.2330503588752329,0.021976855959195515,0.36371469203274814,0.5453851970859924,0.021976855959195383,1.3207393502077318,2.5658812759741454
11,30,0.5,0.25,13.552231999710784,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,177.10766947838263,116.64323522193784,1420.7972437394324,0.715674144861806,8,8,6.5765520025711535,PARK,wrist_camera,gripper,0.4419868854599616,0.02527855460235178,0.5141877957218701,0.7127760493762353,0.02527855460235225,1.3207393502077318,2.5658812759741454
12,30,0.5,0.25,13.546541999858164,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,171.84888875203112,97.9194711713372,0.0,0.4279942857109189,8,8,5.031624142192481,PARK,upper_arm_camera,upper_arm,0.1156270469548106,0.03025368006296725,0.3794404116695022,0.581818051034609,0.03025368006296788,0.5338171916849657,1.211786608180723
12,30,0.5,0.25,13.546541999858164,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,171.54290954402256,102.4186494393527,678.9872610406478,0.6870589280173809,8,8,5.8486093704421815,PARK,forearm_camera,forearm,0.3131895319375848,0.030713366609665154,0.43191661065969505,0.6615390631930907,0.030713366609665626,0.5338171916849657,1.211786608180723
12,30,0.5,0.25,13.546541999858164,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,179.84691256772453,112.48021190627045,1455.3350145807292,0.7081798456883244,8,8,6.573135963447653,PARK,wrist_camera,gripper,0.2507104418959434,0.04566437104560171,0.5462150761078521,1.0142057175521282,0.045664371045601414,0.5338171916849657,1.211786608180723
13,30,0.5,0.25,13.415225999779068,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,161.4233502090718,84.29083464139563,0.0,0.4523526880540659,8,8,4.734703281609706,PARK,upper_arm_camera,upper_arm,0.05688319953895633,0.060199426480554395,0.6743333551565156,0.8855000693538988,0.06019942648055439,0.7808678936318866,1.4658257558249193
13,30,0.5,0.25,13.415225999779068,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,163.7874751488917,111.75203789867803,679.8933851123926,0.6676062968672172,8,8,6.19964859345159,PARK,forearm_camera,forearm,0.16398061307162884,0.06288765509958928,0.7235618242165366,0.9667442583475363,0.06288765509959011,0.7808678936318866,1.4658257558249193
13,30,0.5,0.25,13.415225999779068,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,177.5806575461722,112.51296174500513,1506.851676335731,0.5852599652118391,8,8,5.8692707775991,PARK,wrist_camera,gripper,0.21080738974138408,0.01669820427241744,0.31326146351701406,0.5640572480834667,0.01669820427241801,0.7808678936318866,1.4658257558249193
14,30,0.5,0.25,13.629666999804613,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,179.7551551545012,126.3152231428021,0.0,0.38354168098458935,8,8,5.149365056249349,PARK,upper_arm_camera,upper_arm,0.19987171490608013,0.016873596019157586,0.2497526384469229,0.42699247370164056,0.0168735960191581,0.37926264569204315,0.8521928602308692
14,30,0.5,0.25,13.629666999804613,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,179.72190468051616,139.8652500428827,679.7661968755338,0.6881787013693255,8,8,6.491485000803437,PARK,forearm_camera,forearm,0.16375022498742076,0.02450104383271615,0.35301470441372806,0.6157663224115058,0.024501043832716576,0.37926264569204315,0.8521928602308692
14,30,0.5,0.25,13.629666999804613,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,173.19534162422735,142.0312844761213,1493.5075284095506,0.7102920177767927,8,8,6.303212361772508,PARK,wrist_camera,gripper,0.0958157376224116,0.02698628636519738,0.3013671761638367,0.5543040131433693,0.02698628636519677,0.37926264569204315,0.8521928602308692
15,30,0.5,0.25,13.508130000445817,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,176.3831936032709,95.6240759900756,0.0,0.45238450095815647,8,8,4.745770372815318,PARK,upper_arm_camera,upper_arm,0.19483552093681505,0.026502083103096423,0.39832266655179766,0.5776327499210043,0.026502083103096284,0.7040696628389298,1.541250418222203
15,30,0.5,0.25,13.508130000445817,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,177.4765971695409,114.26467250985937,677.4808127258216,0.700444349941051,8,8,5.709475872666415,PARK,forearm_camera,forearm,0.27535799807869416,0.051191236333329504,0.5497959084277418,1.1478402722691505,0.05119123633332967,0.7040696628389298,1.541250418222203
15,30,0.5,0.25,13.508130000445817,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,179.86244745948733,126.51152764500533,1480.963179353738,0.5697784451860356,8,8,6.551672145614535,PARK,wrist_camera,gripper,0.11568293421707307,0.04883845426390629,0.6160614203132387,1.1297475280332903,0.048838454263905005,0.7040696628389298,1.541250418222203
