noise_level,noise_label,translation_sigma_mm,rotation_sigma_deg_input,trial,num_poses,trajectory_seed,noise_seed,method,success,runtime_ms,error_message,translation_error_mm,rotation_error_deg,mean_target_error_mm,max_target_error_mm,mean_target_rotation_error_deg,max_target_rotation_error_deg
2,low,0.25,0.1,2,25,10002,120002,ANDREFF,True,9.863678000328946,,0.058533392091318415,0.0054112548519643176,0.07032554138294468,0.1114372050234145,0.005411254851965661,0.00541125485196945
2,low,0.25,0.1,2,25,10002,120002,DANIILIDIS,True,8.47916000020632,,0.04338355250280092,0.004624079622805748,0.05108873787610738,0.08632341889348101,0.004624079622806128,0.004624079622811339
2,low,0.25,0.1,3,25,10003,120003,TSAI,True,8.118306000142184,,0.059033242614632046,0.009027861581311157,0.09745924365686097,0.1434998186557839,0.009027861581311582,0.009027861581315466
2,low,0.25,0.1,3,25,10003,120003,PARK,True,8.868306999829656,,0.0848550914274666,0.013336617969457766,0.1170282617281097,0.16612279315932754,0.013336617969458819,0.013336617969466572
2,low,0.25,0.1,3,25,10003,120003,HORAUD,True,8.468901000014739,,0.08305895362213363,0.010826689259484342,0.110843101999264,0.15002681129608758,0.01082668925948455,0.010826689259491193
2,low,0.25,0.1,3,25,10003,120003,ANDREFF,True,9.596498999599135,,0.09081712998461917,0.010338583741336052,0.11733509682383243,0.15608082931066528,0.010338583741335654,0.010338583741339478
2,low,0.25,0.1,3,25,10003,120003,DANIILIDIS,True,8.721342999706394,,0.05954175010417643,0.009791470086897567,0.08141307401777287,0.1373322107803899,0.009791470086898315,0.009791470086902536
2,low,0.25,0.1,4,25,10004,120004,TSAI,True,8.418196000093303,,0.10816961699396913,0.032962819920452614,0.1972582920639493,0.35115865297246684,0.03296281992045211,0.03296281992045572
2,low,0.25,0.1,4,25,10004,120004,PARK,True,9.3098329998611,,0.11695459195159175,0.028110924046830386,0.19201830403876372,0.30415487453261947,0.02811092404682887,0.028110924046834157
2,low,0.25,0.1,4,25,10004,120004,HORAUD,True,8.54415199955838,,0.11396127447167258,0.028137732523990204,0.19143292491519112,0.30967789123494927,0.028137732523990065,0.02813773252399447
2,low,0.25,0.1,4,25,10004,120004,ANDREFF,True,9.682169000370777,,0.12897545164258947,0.028228138949192003,0.21505999993520472,0.3191869487287241,0.028228138949192946,0.02822813894919678
2,low,0.25,0.1,4,25,10004,120004,DANIILIDIS,True,8.54043500021362,,0.09125600803716119,0.02833314454237609,0.1770470292469242,0.29282546840128076,0.028333144542375868,0.02833314454238231
2,low,0.25,0.1,5,25,10005,120005,TSAI,True,8.08218800011673,,0.14109247060877653,0.010573958887688148,0.1427234295257355,0.24298444158087756,0.010573958887687607,0.010573958887692523
2,low,0.25,0.1,5,25,10005,120005,PARK,True,8.881112000381108,,0.10299956757515905,0.008113819421865462,0.09553387917914265,0.15880456908175206,0.008113819421866538,0.008113819421871914
2,low,0.25,0.1,5,25,10005,120005,HORAUD,True,8.715101000234426,,0.10336770107243969,0.0052915397061025354,0.0965261278909863,0.13727791230376998,0.0052915397061022865,0.005291539706106837
2,low,0.25,0.1,5,25,10005,120005,ANDREFF,True,10.262282999974559,,0.10591866568727054,0.005816314542266998,0.09821838058713657,0.14039076026060554,0.0058163145422681795,0.005816314542272188
2,low,0.25,0.1,5,25,10005,120005,DANIILIDIS,True,11.200527000255533,,0.11651486418225102,0.007017665610112148,0.11066165124658096,0.14298415546660118,0.007017665610112597,0.007017665610115798
2,low,0.25,0.1,6,25,10006,120006,TSAI,True,8.791524000116624,,0.0946777954640172,0.03589413090840246,0.2573299743585951,0.3877607173051071,0.03589413090840319,0.035894130908407526
2,low,0.25,0.1,6,25,10006,120006,PARK,True,9.42238300012832,,0.1315729627934367,0.020702874269077864,0.19396917084450355,0.2605432620955682,0.02070287426907827,0.0207028742690846
2,low,0.25,0.1,6,25,10006,120006,HORAUD,True,8.620234000773053,,0.13206879354951132,0.02315288774821726,0.20554735575358732,0.2797792702057345,0.02315288774821851,0.02315288774822332
2,low,0.25,0.1,6,25,10006,120006,ANDREFF,True,9.728233999339864,,0.13794635728144147,0.022488976065564818,0.21613533753084108,0.3006148447830217,0.0224889760655648,0.022488976065571046
2,low,0.25,0.1,6,25,10006,120006,DANIILIDIS,True,8.733094000490382,,0.11713399701766739,0.02183214823914528,0.19194768166786316,0.26491865536032033,0.021832148239144332,0.021832148239150483
2,low,0.25,0.1,7,25,10007,120007,TSAI,True,10.46086499991361,,0.06605750057049176,0.024885897583317804,0.14789742769866215,0.2272212505924011,0.024885897583318557,0.024885897583323362
2,low,0.25,0.1,7,25,10007,120007,PARK,True,10.563505999925837,,0.09937282454331996,0.021150206764817384,0.1303711778739308,0.2339280154936598,0.02115020676481643,0.021150206764820084
2,low,0.25,0.1,7,25,10007,120007,HORAUD,True,9.650529999817081,,0.09923140573933223,0.02165461252869803,0.1327641373447804,0.23088855608421824,0.02165461252869843,0.021654612528702127
2,low,0.25,0.1,7,25,10007,120007,ANDREFF,True,10.300735000782879,,0.09994043707884878,0.021048113668263237,0.13069537333501846,0.22788917080005902,0.021048113668263774,0.021048113668268892
2,low,0.25,0.1,7,25,10007,120007,DANIILIDIS,True,8.997709000141185,,0.10308675348880199,0.020945074044121006,0.13000631659078005,0.23560662070148025,0.02094507404412187,0.020945074044125704
2,low,0.25,0.1,8,25,10008,120008,TSAI,True,8.43202200030646,,0.11211545017225437,0.02183310142278565,0.1465895337837349,0.2655028337146222,0.02183310142278664,0.021833101422789897
2,low,0.25,0.1,8,25,10008,120008,PARK,True,9.473299000092084,,0.12113636033570313,0.019443579792305963,0.17092733027383908,0.26376723000261965,0.019443579792306594,0.019443579792311094
2,low,0.25,0.1,8,25,10008,120008,HORAUD,True,8.735659000194573,,0.12147403303741475,0.01964196543815314,0.17082747976771837,0.2655657672942696,0.01964196543815331,0.019641965438157973
2,low,0.25,0.1,8,25,10008,120008,ANDREFF,True,10.600184999930207,,0.13735406804867753,0.019197409981593375,0.18236963405200582,0.26715265640656505,0.019197409981594193,0.019197409981599793
2,low,0.25,0.1,8,25,10008,120008,DANIILIDIS,True,8.568416999878536,,0.11789043968102364,0.019976769944046822,0.16381397906597378,0.23205161359060889,0.019976769944047602,0.019976769944050513
2,low,0.25,0.1,9,25,10009,120009,TSAI,True,8.018558999538072,,0.03071702209356878,0.017632171785215804,0.11315982047295625,0.20441710507421998,0.01763217178521515,0.017632171785219076
2,low,0.25,0.1,9,25,10009,120009,PARK,True,9.03916700008267,,0.051893769532764346,0.023157619761496214,0.13683332050744734,0.27038653336025353,0.023157619761493987,0.023157619761498962
2,low,0.25,0.1,9,25,10009,120009,HORAUD,True,8.315815000059956,,0.05139821596975634,0.021510721935026695,0.1290526094179429,0.25141053008516356,0.021510721935026785,0.021510721935030782
2,low,0.25,0.1,9,25,10009,120009,ANDREFF,True,9.721041000375408,,0.1035213319410671,0.021212856847091798,0.15528601317792082,0.2867955001660522,0.021212856847092346,0.021212856847098036
2,low,0.25,0.1,9,25,10009,120009,DANIILIDIS,True,8.594314999754715,,0.056433923179610684,0.020641810078478193,0.1263648902932128,0.24153230600921358,0.02064181007847829,0.02064181007848277
3,moderate,0.5,0.25,0,25,10000,130000,TSAI,True,8.085954999842215,,0.2997971488856189,0.03927646136918301,0.3738066275090725,0.6021934619793725,0.039276461369181954,0.03927646136918792
3,moderate,0.5,0.25,0,25,10000,130000,PARK,True,8.901860000150918,,0.3677943821943987,0.04936919017773735,0.4835208083013208,0.7560531875861453,0.049369190177738845,0.049369190177741856
3,moderate,0.5,0.25,0,25,10000,130000,HORAUD,True,8.408037000663171,,0.37140741814527556,0.04643641427612224,0.4705615407646043,0.7362305798217791,0.04643641427612283,0.0464364142761277
3,moderate,0.5,0.25,0,25,10000,130000,ANDREFF,True,9.440826999707497,,0.46600193894323577,0.0459110509715278,0.5416494941980232,0.8150854789928886,0.04591105097152893,0.04591105097153444
3,moderate,0.5,0.25,0,25,10000,130000,DANIILIDIS,True,8.71745499989629,,0.2983104221437382,0.04510904235127481,0.40230500708440237,0.6976763435852374,0.04510904235127461,0.04510904235127995
3,moderate,0.5,0.25,1,25,10001,130001,TSAI,True,8.307158000206982,,0.21916819508898858,0.040321625585708905,0.29304631152973293,0.6009240057747517,0.040321625585709134,0.040321625585712666
3,moderate,0.5,0.25,1,25,10001,130001,PARK,True,9.068601999388193,,0.19462635917773508,0.029393858257683255,0.24327220841279198,0.4336873940157166,0.029393858257682873,0.029393858257688733
3,moderate,0.5,0.25,1,25,10001,130001,HORAUD,True,8.373321999897598,,0.19564184084477187,0.032714953052641174,0.25229675340688523,0.46642227880143156,0.03271495305264118,0.03271495305264622
3,moderate,0.5,0.25,1,25,10001,130001,ANDREFF,True,9.642824999900768,,0.21967337881753712,0.03476835984996152,0.2800349976577814,0.5215814113763034,0.03476835984996175,0.03476835984996635
3,moderate,0.5,0.25,1,25,10001,130001,DANIILIDIS,True,8.564620000470313,,0.21334312109299497,0.03500792832377376,0.2765163079886783,0.4709042585439082,0.03500792832377482,0.03500792832377891
3,moderate,0.5,0.25,2,25,10002,130002,TSAI,True,8.443002999229066,,0.5432206236814882,0.08371970714393523,0.562748346749318,0.9863390328439577,0.08371970714393637,0.08371970714394025
3,moderate,0.5,0.25,2,25,10002,130002,PARK,True,9.111120999477862,,0.5119067695408865,0.08097445264595944,0.47621889867947664,0.8253130146183169,0.08097445264595939,0.08097445264596326
3,moderate,0.5,0.25,2,25,10002,130002,HORAUD,True,8.559639999475621,,0.508442309977635,0.0800102108375886,0.4821418007974221,0.8393956423708632,0.08001021083758958,0.08001021083759523
3,moderate,0.5,0.25,2,25,10002,130002,ANDREFF,True,9.505388999969,,0.559492498975669,0.07943486772697851,0.5189681606930711,0.9550416411595035,0.07943486772697887,0.0794348677269864
3,moderate,0.5,0.25,2,25,10002,130002,DANIILIDIS,True,8.686146999934863,,0.4289726387321713,0.07927756509002892,0.4343019815193449,0.769650894367635,0.07927756509003,0.07927756509003443
3,moderate,0.5,0.25,3,25,10003,130003,TSAI,True,8.118816000205697,,0.2605456395350612,0.06018151348807929,0.4259763658514335,0.6063261199327789,0.06018151348807949,0.06018151348808409
3,moderate,0.5,0.25,3,25,10003,130003,PARK,True,9.212411000589782,,0.1830365255057149,0.06120119153285288,0.3907487546354778,0.6678684296270807,0.06120119153285354,0.06120119153285728
3,moderate,0.5,0.25,3,25,10003,130003,HORAUD,True,8.374164000088058,,0.18521655143321503,0.060806495758149365,0.39665542986693025,0.6585995197864268,0.060806495758149726,0.06080649575815544
3,moderate,0.5,0.25,3,25,10003,130003,ANDREFF,True,9.73452600010205,,0.24031624800763918,0.0622655205053086,0.4559144816537791,0.695741923035747,0.06226552050530913,0.062265520505312796
