scenario,time_index,camera_name,translation_residual_mm,rotation_residual_deg,cross_camera_residual_mm,isolation_translation_mm,isolation_rotation_deg,translation_z,rotation_z,cross_camera_z,isolation_translation_z,isolation_rotation_z,health_score,isolation_score,state
none,3,forearm_camera,0.6582024576646303,0.136060367186088,0.5175439770778504,0.0,0.055076288544416846,0.0,1.5120073349598697,0.0,0.0,3.67175256962779,1.5120073349598697,3.67175256962779,BASELINE
none,3,wrist_camera,0.5651314974985869,0.08750411978538317,0.5723073813301037,0.08888488154244029,0.04495005383398669,0.0,0.11469501618879216,0.0,0.0,0.3041210549114667,0.11469501618879216,0.3041210549114667,BASELINE
none,4,upper_arm_camera,0.24486663376991105,0.035037495130286034,0.8641339436405646,0.0,0.005550974518444919,0.0,0.0,0.0,0.0,0.15978698834885874,0.0,0.15978698834885874,BASELINE
none,4,forearm_camera,1.2029217950905713,0.06483713461996589,1.052610823987111,0.31504729450032576,0.020324449099019794,0.7346600751096295,0.0,0.0,3.9380911812540718,1.3549632732679864,0.7346600751096295,4.164671370441632,BASELINE
none,4,wrist_camera,0.8774076929540197,0.03047182835415194,0.9260404098333318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BASELINE
none,5,upper_arm_camera,2.3885119720522607,0.17843958316601732,4.5239770453181585,1.28641571047218,0.0755304892431583,3.1699533708809,1.7607840159391688,2.90039039794105,16.08019638090225,4.825087969996417,4.643407066456127,16.788513619930324,BASELINE
none,5,forearm_camera,2.944731208022142,0.19448230285035145,4.270766572066476,0.5267842907171314,0.051351005826808405,5.048200179425922,2.929676715095096,5.450053779831745,6.5848036339641425,3.423400388453894,7.98563816545582,7.421543580518385,BASELINE
none,5,wrist_camera,2.3027469630499366,0.14086588013441464,3.4907718080976613,0.0,0.0,1.3841035372447248,0.9424109476883246,2.691324682893781,0.0,0.0,3.169717581250651,0.0,BASELINE
none,6,upper_arm_camera,0.5754154268756927,0.033161425754070925,0.9374571746152757,0.0,0.02711203381648923,0.0,0.0,0.0,0.0,1.5971909415518128,0.0,1.5971909415518128,BASELINE
none,6,forearm_camera,0.9297933280760902,0.11085510615079405,1.3204241104769587,0.9180405494528092,0.04176301039071838,0.05826540910854565,0.9003753104169143,0.0,11.475506868160116,2.7842006927145584,0.9022585868291534,11.80843052139031,BASELINE
none,6,wrist_camera,0.33297832159017043,0.04399127323238812,0.7853504968858325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BASELINE
none,7,upper_arm_camera,0.432957983227339,0.015496706829858176,1.0172346221885027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BASELINE
none,7,forearm_camera,0.4148989355204295,0.04642363236249693,0.9901164359752714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BASELINE
none,7,wrist_camera,1.085609660789472,0.0984429535319781,1.4007665685495325,0.794182078935291,0.07505964777082856,0.0261340577491611,0.28437170797817163,0.0,2.060108185143668,0.9596398327497636,0.2855700566811216,2.272653590650351,BASELINE
none,8,upper_arm_camera,1.0324119859936598,0.07621742856851563,2.647036619733365,0.0,0.0,0.2223097720625751,0.04324674021336287,1.0084995632111358,0.0,0.0,1.0336166041094,0.0,BASELINE
none,8,forearm_camera,0.7907377569862213,0.029277146282242074,2.2230614088005307,0.0,0.0,0.0,0.0,1.5751828922267146,0.0,0.0,1.5751828922267146,0.0,BASELINE
none,8,wrist_camera,2.9338589080861963,0.16306614033836828,3.480109870405327,2.0901217122767584,0.10278858759826513,2.08824000394626,1.286768197787571,2.676972375831402,6.522403731245884,1.5633291679351131,3.6307987839982774,6.707141605832318,BASELINE
none,9,upper_arm_camera,0.6491572627283069,0.02417018075324709,1.8664976955907355,0.0,0.0,0.0,0.0,0.22174340589980346,0.0,0.0,0.22174340589980346,0.0,BASELINE
none,9,forearm_camera,1.458957538489951,0.10065569196630401,2.460505685842728,0.7824468640985585,0.015036720517335594,1.368725110636595,0.6528758563118151,2.024498512973499,9.78058580123198,1.0024480344890396,2.529476139692556,9.831823873377287,BASELINE
none,9,wrist_camera,1.8927192057142932,0.10937104420848506,2.2720668119961616,0.2171302425588597,0.027843258425892914,0.9266324046340327,0.4538817596453575,1.050794712897829,0.07315156071101343,0.0,1.472693380751963,0.07315156071101343,BASELINE
