noise_level,noise_label,translation_sigma_mm,rotation_sigma_deg_input,method,trials,successful_trials,translation_error_mm_mean,translation_error_mm_std,translation_error_mm_median,rotation_error_deg_mean,rotation_error_deg_std,rotation_error_deg_median,mean_target_error_mm_mean,runtime_ms_mean,failure_rate
3,moderate,0.5,0.25,DANIILIDIS,10,10,0.2741507254764821,0.09822933167543342,0.2815463583227666,0.045164785472432176,0.016158664066474447,0.040058485337524284,0.34512931302187405,8.736211500036006,0.0
3,moderate,0.5,0.25,HORAUD,10,10,0.28869947883245833,0.12220110177845694,0.2772815566768202,0.04633382360063646,0.017080621532924528,0.040316794530494554,0.36534136227841874,8.473741000034352,0.0
3,moderate,0.5,0.25,PARK,10,10,0.28748752539070876,0.12341661625630375,0.276901504396324,0.046968279820205,0.01700919147008944,0.04279507682695097,0.36544951920094254,9.102813900062756,0.0
3,moderate,0.5,0.25,TSAI,10,10,0.29222123711565084,0.10404989853553337,0.26323109418140944,0.04815634132323366,0.02362420433855521,0.03979904347744596,0.38530026055567157,8.253543399860064,0.0
4,high,1.0,0.5,ANDREFF,10,10,0.5737565991851855,0.34795794549635173,0.6962934728742345,0.10079597562454752,0.03925407741237632,0.09849184954725401,0.8026863518423362,9.806145400307287,0.0
4,high,1.0,0.5,DANIILIDIS,10,10,0.6422738294872692,0.464605681024701,0.5754205648534783,0.11893439420762295,0.09727001725299823,0.09198953751780015,0.9454956586794896,8.820503200058738,0.0
4,high,1.0,0.5,HORAUD,10,10,0.507132823634875,0.2918380585254523,0.5196575539078365,0.1018636834795927,0.03994850068584502,0.10123426772606232,0.749557259106758,8.689984000102413,0.0
4,high,1.0,0.5,PARK,10,10,0.5094771671702112,0.2951858134164398,0.5309566799109425,0.10347197016033752,0.04263241347184096,0.10651799273464976,0.7469400575744871,9.143695300008403,0.0
4,high,1.0,0.5,TSAI,10,10,0.5964562718000248,0.27611972650776023,0.5709903212616589,0.10190690032413825,0.04298578422070544,0.10040560071433242,0.8505585708424703,8.352763700077048,0.0
5,severe,2.0,1.0,ANDREFF,10,10,1.2592556135042299,0.9130810581307959,1.0927824944865816,0.2588993843701503,0.1782363955051811,0.19718466897020198,2.0273563155751786,9.854758300025424,0.0
5,severe,2.0,1.0,DANIILIDIS,10,10,1.2319146177859241,0.5340501467448578,1.1292801021290693,0.25498101338102985,0.17527467168423838,0.18585947066105077,1.973157215148,8.895783600110008,0.0
5,severe,2.0,1.0,HORAUD,10,10,1.083021423400593,0.4493265688068974,1.0052309968318065,0.26312130368882924,0.17851557214286948,0.21415770495959824,1.8611018595146895,8.501454599718272,0.0
5,severe,2.0,1.0,PARK,10,10,1.0819750625469606,0.4446348551206726,1.0013339440306799,0.25772369826774544,0.18170924312862377,0.19878609067905512,1.8447938853901302,9.263309700054378,0.0
5,severe,2.0,1.0,TSAI,10,10,1.1683046414581832,0.5082829222594287,1.1112387576655012,0.29860883461551274,0.18037922792656377,0.2617131456962651,2.0517925987836727,8.39573390003352,0.0
