offset_level_ms,trial,num_poses,runtime_ms,success,nfev,method,camera_name,translation_error_mm,rotation_error_deg,estimated_time_offset_ms,true_time_offset_ms,time_offset_abs_error_ms,mean_target_error_mm,mean_cross_camera_target_disagreement_mm
0,1,24,2060.5790070003422,True,87,TIME_AWARE_PARK,forearm_camera,0.1621934677415827,0.005590967557256768,-0.09650682782640092,0.0,0.09650682782640092,0.7510357782539271,1.4821505279842873
0,1,24,2060.5790070003422,True,87,TIME_AWARE_PARK,wrist_camera,0.3044118042713467,0.032286088771287365,-0.1361625506284827,-0.0,0.1361625506284827,1.0826313869382729,1.4821505279842873
0,2,24,9.862478000286501,True,0,PARK_ZERO_OFFSET,upper_arm_camera,0.2364469842529449,0.04265924604436004,0.0,0.0,0.0,1.273138049684246,1.3993140245343216
0,2,24,9.862478000286501,True,0,PARK_ZERO_OFFSET,forearm_camera,0.33425194596371727,0.012001077298466918,0.0,0.0,0.0,0.7922931177919078,1.3993140245343216
0,2,24,9.862478000286501,True,0,PARK_ZERO_OFFSET,wrist_camera,0.12453299033043216,0.01817268393349797,0.0,-0.0,0.0,0.8853064181807261,1.3993140245343216
0,2,24,2060.7097070005693,True,86,TIME_AWARE_PARK,upper_arm_camera,0.18345887064687322,0.017590009827759455,0.3175496021651372,0.0,0.3175496021651372,1.1110211505169751,1.325232591710981
0,2,24,2060.7097070005693,True,86,TIME_AWARE_PARK,forearm_camera,0.33232651595643553,0.011952639337529108,-0.08062633981102929,0.0,0.08062633981102929,0.7982469533664375,1.325232591710981
0,2,24,2060.7097070005693,True,86,TIME_AWARE_PARK,wrist_camera,0.13295891262808907,0.0219351569093132,-0.04857614461257472,-0.0,0.04857614461257472,0.8852176028209816,1.325232591710981
20,0,24,9.962357000404154,True,0,PARK_ZERO_OFFSET,upper_arm_camera,1.1134391926031597,0.542332701610434,0.0,6.0,6.0,9.760590482347098,14.301596121007606
20,0,24,9.962357000404154,True,0,PARK_ZERO_OFFSET,forearm_camera,3.9972224190525965,0.7609086938337775,0.0,20.0,20.0,13.656590276617804,14.301596121007606
20,0,24,9.962357000404154,True,0,PARK_ZERO_OFFSET,wrist_camera,6.087991599909776,1.3203041414072365,0.0,-16.0,16.0,17.31058212677595,14.301596121007606
20,0,24,2592.8272960009053,True,113,TIME_AWARE_PARK,upper_arm_camera,0.14432171138243954,0.09875721800207367,5.28526269546671,6.0,0.7147373045332901,1.9795568209182923,2.67641321086099
20,0,24,2592.8272960009053,True,113,TIME_AWARE_PARK,forearm_camera,0.5479088475855134,0.07871502922331357,17.88410299906826,20.0,2.1158970009317395,1.808881725426132,2.67641321086099
20,0,24,2592.8272960009053,True,113,TIME_AWARE_PARK,wrist_camera,1.102962542830785,0.20800641257391445,-13.507594449548764,-16.0,2.4924055504512364,2.897559958911474,2.67641321086099
20,1,24,10.053340000013122,True,0,PARK_ZERO_OFFSET,upper_arm_camera,1.1752849259957323,0.5409673749239263,0.0,6.0,6.0,9.684304522031042,14.307674918596582
20,1,24,10.053340000013122,True,0,PARK_ZERO_OFFSET,forearm_camera,4.072967003110528,0.7784133935166676,0.0,20.0,20.0,13.61125273137204,14.307674918596582
20,1,24,10.053340000013122,True,0,PARK_ZERO_OFFSET,wrist_camera,6.140875883250348,1.3202377185621497,0.0,-16.0,16.0,17.535470404361764,14.307674918596582
20,1,24,2352.844537999772,True,102,TIME_AWARE_PARK,upper_arm_camera,0.20389966608194912,0.1034259304474382,5.195577844726182,6.0,0.8044221552738189,1.9567713295701818,2.441926350677735
20,1,24,2352.844537999772,True,102,TIME_AWARE_PARK,forearm_camera,0.7078569632104033,0.11038939181241088,17.51504273125501,20.0,2.4849572687449877,2.035999331285414,2.441926350677735
20,1,24,2352.844537999772,True,102,TIME_AWARE_PARK,wrist_camera,1.0515093973836205,0.18570618006813966,-13.777783407808533,-16.0,2.222216592191467,2.778338416481283,2.441926350677735
20,2,24,9.743545000674203,True,0,PARK_ZERO_OFFSET,upper_arm_camera,0.9716191811813355,0.4654358142439764,0.0,6.0,6.0,8.697805545436252,14.344873251154054
20,2,24,9.743545000674203,True,0,PARK_ZERO_OFFSET,forearm_camera,3.7735966722717627,0.7607118315254433,0.0,20.0,20.0,13.281171204308727,14.344873251154054
20,2,24,9.743545000674203,True,0,PARK_ZERO_OFFSET,wrist_camera,6.122910014422307,1.322037929810997,0.0,-16.0,16.0,17.449732291958927,14.344873251154054
20,2,24,2584.2670780002663,True,113,TIME_AWARE_PARK,upper_arm_camera,0.0788466363176083,0.02432818642547629,5.4915496490387214,6.0,0.5084503509612789,1.1013143289304301,2.399343466767578
20,2,24,2584.2670780002663,True,113,TIME_AWARE_PARK,forearm_camera,0.2682755134594823,0.06797066961624458,18.153629417523906,20.0,1.8463705824760952,1.3550232457983646,2.399343466767578
20,2,24,2584.2670780002663,True,113,TIME_AWARE_PARK,wrist_camera,1.0118907040674716,0.18043394337698046,-13.874266821425994,-16.0,2.1257331785740057,2.6815776012725134,2.399343466767578
50,0,24,9.67823900100484,True,0,PARK_ZERO_OFFSET,upper_arm_camera,2.8639526620670592,1.2679000259388677,0.0,15.0,15.0,23.2039200913007,35.62447341837166
50,0,24,9.67823900100484,True,0,PARK_ZERO_OFFSET,forearm_camera,9.501808887835079,1.9171376145958579,0.0,50.0,50.0,33.32575742125031,35.62447341837166
50,0,24,9.67823900100484,True,0,PARK_ZERO_OFFSET,wrist_camera,15.122251590181234,3.286435778455515,0.0,-40.00000000000001,40.00000000000001,43.686951850805436,35.62447341837166
50,0,24,2435.2738950001367,True,106,TIME_AWARE_PARK,upper_arm_camera,0.4166208789051235,0.16627898513568376,13.10445288085974,15.0,1.895547119140261,3.4512021958350387,4.832029018512135
